"","superkingdom","phylum","class","order","family","genus","species"
"species:Prevotella sp. CAG:1185","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella sp. CAG:1185"
"species:Bacteroides sp. CAG:144","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. CAG:144"
"species:Alistipes onderdonkii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes onderdonkii"
"species:Coprobacter fastidiosus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Coprobacter","Coprobacter fastidiosus"
"species:Victivallis vadensis","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae","Victivallis","Victivallis vadensis"
"species:Phascolarctobacterium faecium","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium faecium"
"species:Clostridium sp. CAG:413","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sp. CAG:413"
"species:Phocaeicola coprocola","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola coprocola"
"species:Firmicutes bacterium CAG:238","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:238"
"species:Bacteroides fragilis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis"
"species:Phascolarctobacterium sp. CAG:266","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium sp. CAG:266"
"species:Desulfovibrio piger","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio piger"
"species:Monoglobus pectinilyticus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Monoglobus","Monoglobus pectinilyticus"
"species:Firmicutes bacterium CAG:170","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:170"
"species:Allisonella histaminiformans","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Allisonella","Allisonella histaminiformans"
"species:Lactobacillus rogosae","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus rogosae"
"species:Roseburia sp. CAG:309","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia sp. CAG:309"
"species:Firmicutes bacterium CAG:83","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:83"
"species:Bacteroides cellulosilyticus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides cellulosilyticus"
"species:Sanguibacteroides justesenii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Sanguibacteroides","Sanguibacteroides justesenii"
"species:Desulfovibrionaceae bacterium","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA,"Desulfovibrionaceae bacterium"
"species:Coprococcus catus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus catus"
"species:Pseudoflavonifractor sp. An184","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Pseudoflavonifractor","Pseudoflavonifractor sp. An184"
"species:Prevotella sp. CAG:5226","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella sp. CAG:5226"
"species:Prevotella timonensis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella timonensis"
"species:Campylobacter hominis","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter hominis"
"species:Enterocloster citroniae","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster citroniae"
"species:Eisenbergiella tayi","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Eisenbergiella","Eisenbergiella tayi"
"species:Latilactobacillus curvatus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Latilactobacillus","Latilactobacillus curvatus"
"species:Enterocloster asparagiformis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster asparagiformis"
"species:Parvimonas micra","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Parvimonas","Parvimonas micra"
"species:Porphyromonas asaccharolytica","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas asaccharolytica"
"species:Coprobacillus cateniformis","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Coprobacillus","Coprobacillus cateniformis"
"species:Prevotella buccalis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella buccalis"
"species:Bacteroides nordii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides nordii"
"species:Enterocloster bolteae","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster bolteae"
"species:Streptococcus milleri","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus milleri"
"species:Bacteroides faecis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides faecis"
"species:Bacteroides faecis CAG:32","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides faecis CAG:32"
"species:Escherichia marmotae","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia marmotae"
"species:Megamonas funiformis","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas","Megamonas funiformis"
"species:Megamonas hypermegale","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas","Megamonas hypermegale"
"species:Lactobacillus johnsonii","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus johnsonii"
"species:Megasphaera stantonii","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera stantonii"
"species:Firmicutes bacterium CAG:145","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:145"
"species:Schaalia turicensis","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia turicensis"
"species:[Clostridium] innocuum","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium","[Clostridium] innocuum"
"species:Prevotella corporis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella corporis"
"species:Prevotella disiens","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella disiens"
"species:Fannyhessea vaginae","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Fannyhessea","Fannyhessea vaginae"
"species:Cloacibacillus porcorum","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus","Cloacibacillus porcorum"
"species:Lactobacillus delbrueckii","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus delbrueckii"
"species:Facklamia hominis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Facklamia","Facklamia hominis"
"species:Christensenella minuta","Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Christensenella","Christensenella minuta"
"species:Slackia isoflavoniconvertens","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Slackia","Slackia isoflavoniconvertens"
"species:Eubacterium limosum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium limosum"
"species:Staphylococcus epidermidis","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis"
"species:Lachnoclostridium sp. An138","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","Lachnoclostridium sp. An138"
"species:Butyrivibrio crossotus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Butyrivibrio","Butyrivibrio crossotus"
"species:Bifidobacterium animalis","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium animalis"
"species:Eubacterium sp. OM08-24","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium sp. OM08-24"
"species:Enterocloster lavalensis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster lavalensis"
"species:Leuconostoc mesenteroides","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc","Leuconostoc mesenteroides"
"species:Methanosphaera stadtmanae","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera","Methanosphaera stadtmanae"
"species:Lactococcus lactis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus lactis"
"species:Bifidobacterium mongoliense","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium mongoliense"
"species:Roseburia sp. CAG:471","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia sp. CAG:471"
"species:Actinomyces sp. ICM47","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. ICM47"
"species:Limosilactobacillus antri","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus antri"
"species:Hungatella hathewayi","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Hungatella","Hungatella hathewayi"
"species:Ruminococcus sp. CAG:330","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus sp. CAG:330"
"species:Anaeroglobus geminatus","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Anaeroglobus","Anaeroglobus geminatus"
"species:Hafnia paralvei","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia","Hafnia paralvei"
"species:Lactobacillus melliventris","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus melliventris"
"species:Lactobacillus helsingborgensis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus helsingborgensis"
"species:Tyzzerella nexilis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Tyzzerella","Tyzzerella nexilis"
"species:Bifidobacterium dentium","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium dentium"
"species:[Ruminococcus] lactaris","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] lactaris"
"species:Ruminococcus callidus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus callidus"
"species:Turicibacter sanguinis","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Turicibacteraceae","Turicibacter","Turicibacter sanguinis"
"species:Bacteroides galacturonicus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides galacturonicus"
"species:Holdemania filiformis","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania","Holdemania filiformis"
"species:Corynebacterium kroppenstedtii","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium kroppenstedtii"
"species:Bifidobacterium actinocoloniiforme","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium actinocoloniiforme"
"species:Bifidobacterium bohemicum","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium bohemicum"
"species:Streptococcus salivarius CAG:79","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus salivarius CAG:79"
"species:Streptococcus sp. M334","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. M334"
"species:Rothia dentocariosa","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Rothia","Rothia dentocariosa"
"species:Neisseria cinerea","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria cinerea"
"species:Streptococcus sanguinis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sanguinis"
"species:Haemophilus haemolyticus","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus haemolyticus"
"species:Haemophilus parahaemolyticus","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus parahaemolyticus"
"species:Streptococcus pseudopneumoniae","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pseudopneumoniae"
"species:Corynebacterium durum","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium durum"
"species:Neisseria sicca","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria sicca"
"species:Haemophilus paraphrohaemolyticus","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus paraphrohaemolyticus"
"species:Rothia aeria","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Rothia","Rothia aeria"
"species:Haemophilus influenzae","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus influenzae"
"species:Moraxella nonliquefaciens","Bacteria","Proteobacteria","Gammaproteobacteria","Moraxellales","Moraxellaceae","Moraxella","Moraxella nonliquefaciens"
"species:Neisseria gonorrhoeae","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria gonorrhoeae"
"species:Kingella kingae","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Kingella","Kingella kingae"
"species:Corynebacterium matruchotii","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium matruchotii"
"species:Streptococcus cristatus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus cristatus"
"species:Neisseria mucosa","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria mucosa"
"species:Veillonella rogosae","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella rogosae"
"species:Moraxella lincolnii","Bacteria","Proteobacteria","Gammaproteobacteria","Moraxellales","Moraxellaceae","Moraxella","Moraxella lincolnii"
"species:Streptococcus sp. oral taxon 056","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. oral taxon 056"
"species:Abiotrophia defectiva","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia","Abiotrophia defectiva"
"species:Capnocytophaga sputigena","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga sputigena"
"species:Streptococcus gordonii","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus gordonii"
"species:Abiotrophia sp. HMSC24B09","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia","Abiotrophia sp. HMSC24B09"
